id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,1,practice_pri,Prioritise3,3,cross,circle,triangle,square,"1.0,-0.1694459751095364,-0.6968170409133772","-0.06359610428535867,0.4935649245563736,-0.24027710533734647","0.9342399836420399,0.1906568045828605,-1.0","-0.11280811015512238,0.4617870748317987,0.35899735609320693",34,178,84,220,"-0.11280811015512238,0.4617870748317987,0.35899735609320693",220,"0.9439739668489959,0.07017173146500566,0.5667550331301558",300,99,14.86637250000058
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,2,practice_pri,Prioritise1,0,triangle,cross,circle,square,"0.6287517000804042,0.333230015934751,-1.0","1.0,-0.10580765013847959,-0.9756165541078137","1.0,-0.03882752461224859,0.44751763152896373","1.0,-0.28849207683894174,-0.11276294357485506",110,43,314,358,"0.6287517000804042,0.333230015934751,-1.0",110,"0.1377313063497616,0.46869198128419454,-0.6923217342230605",154,266,2.517499699999462
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,3,practice_pri,Prioritise2,3,triangle,cross,square,circle,"0.8423878648894922,0.2395276862660105,-1.0","0.29323185337982705,0.4365272844863326,-1.0","-0.15425303278284086,0.49074605836511664,0.06966808771232391","0.6823545184579658,0.19890605819631269,0.6567852503614975",92,139,198,282,"0.6823545184579658,0.19890605819631269,0.6567852503614975",282,"1.0,-0.283482916447115,-0.29186272671519153",10,312,2.7731146000005538
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,4,practice_pri,Prioritise4,1,circle,triangle,square,cross,"1.0,-0.1159761024614836,0.3405028198215041","0.07004997715874661,0.40859431628906884,0.5522929170622126","0.37106831880418345,0.41675617985472035,-1.0","-0.15218698220497417,0.491399065672369,0.0550849709310266",324,240,132,197,"0.07004997715874661,0.40859431628906884,0.5522929170622126",240,"0.7481042841002781,0.28401253410301863,-1.0",100,305,15.837263999999777
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,5,practice_pri,NoPrioritise,1,square,cross,triangle,circle,"-0.137653653553384,0.47091943313012696,0.2992494234533911","0.9001622899209403,0.20948101299508481,-1.0","0.7726890832158932,0.15810653737494773,0.6353563968956581","1.0,-0.2787294505909397,-0.3224626175099854",215,87,288,12,"0.9001622899209403,0.20948101299508481,-1.0",87,"-0.11109230792064029,0.494998675286374,-0.11182488810932678",186,99,2.757688799999414
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,1,test,Prioritise2,0,triangle,cross,square,circle,"1.0,-0.23416809090988489,0.11348302116348141","0.5929450132200651,0.3466038519932022,-1.0","0.5747774279545166,0.24332959852807035,0.670395358395977","1.0,0.029697581538389972,-1.0",342,113,275,61,"1.0,-0.23416809090988489,0.11348302116348141",342,"-0.07020697204541848,0.49392917223661503,-0.22388609625324785",179,147,3.434207199999946
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,2,test,NoPrioritise,2,circle,triangle,square,cross,"1.0,-0.09842467873037941,-1.0","1.0,-0.1159761024614836,0.3405028198215041","-0.04273264564935253,0.4921547641531523,-0.29008164886068233","-0.09355100115627091,0.45554214766479406,0.3928507547204487",44,324,175,223,"-0.04273264564935253,0.4921547641531523,-0.29008164886068233",175,"-0.01269399205840449,0.48953144240138324,-0.3581525544909092",171,232,1.9768346000000747
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,3,test,Prioritise4,1,circle,cross,square,triangle,"0.2081252941518954,0.4553611512282272,-0.9356957589344492","0.9165223056430671,0.08531838961047389,0.5804719469242157","1.0,-0.21761393967782516,0.1537648375256555","0.07004997715874661,0.40859431628906884,0.5522929170622126",147,298,339,240,"0.9165223056430671,0.08531838961047389,0.5804719469242157",298,"0.019624625934283157,0.48605247051678724,-0.428609032695351",167,32,4.504501600000367
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,4,test,NoPrioritise,2,square,circle,cross,triangle,"1.0,0.008268781307839035,0.5033766660072689","-0.14981892062729885,0.491997057231198,0.04039774195876733","0.1456375685133382,0.387038501124352,0.5938426811268567","1.0,-0.26238457869240295,-0.4002073564444957",308,196,246,17,"0.1456375685133382,0.387038501124352,0.5938426811268567",246,"0.6885060196604067,0.3095143481419429,-1.0",105,293,6.9243172999995295
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,5,test,Prioritise3,1,triangle,circle,square,cross,"0.9229356114863154,0.19699631777014193,-1.0","1.0,-0.29111130123666484,-0.15686324257888173","0.30417514509994215,0.43389432139899475,-1.0","0.6670955436242052,0.20546863097446266,0.6594879335101997",85,1,138,281,"1.0,-0.29111130123666484,-0.15686324257888173",1,"1.0,-0.1308360377071882,0.3172469791017578",326,343,3.8170380000001387
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,6,test,Prioritise3,1,square,cross,circle,triangle,"1.0,-0.265680167273015,0.01659727634298691","-0.10674528321075638,0.4597702151299572,0.3704541436797111","0.3485477954945324,0.4227267056127266,-1.0","0.9303101871846857,0.07776559495072588,0.5737236459068971",349,221,134,299,"-0.10674528321075638,0.4597702151299572,0.3704541436797111",221,"0.5453823652594301,0.36344457638027117,-1.0",117,188,4.09967239999969
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,7,test,Prioritise1,2,square,triangle,cross,circle,"0.024156992038590452,0.42147876676365525,0.5201127943356356","1.0,-0.2541916545294901,-0.43193236346031305","1.0,0.008268781307839035,0.5033766660072689","-0.01269399205840449,0.48953144240138324,-0.3581525544909092",236,19,308,171,"1.0,0.008268781307839035,0.5033766660072689",308,"1.0,-0.030978196634575572,0.4572913763932509",313,235,2.873867899999823
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,8,test,Prioritise2,3,square,triangle,circle,cross,"0.002753009035763032,0.42748599986642954,0.5027340537090634","1.0,-0.28715474606071,-0.26149890951485844","0.23950483221035568,0.4487573681220651,-1.0","-0.14097292288545527,0.4934633616179327,-0.004268922352566595",234,8,144,193,"-0.14097292288545527,0.4934633616179327,-0.004268922352566595",193,"1.0,-0.24425036060701033,0.08619108045783674",344,79,9.707216699999663
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,9,test,Prioritise2,1,cross,triangle,circle,square,"-0.05680994196765965,0.4931478034098584,-0.2567707460520542","0.9303101871846857,0.07776559495072588,0.5737236459068971","1.0,-0.2583995670372059,-0.4160170008955538","0.09441071644993415,0.40170970408167506,0.5670564126145141",177,299,18,242,"0.9303101871846857,0.07776559495072588,0.5737236459068971",299,"0.9973143857544444,0.03943765994348003,0.5367265506444097",304,327,1.715279300000475
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,10,test,Prioritise1,3,circle,square,cross,triangle,"0.011345098196205106,0.4870029319956142,-0.41073039696963887","1.0,-0.07783297952557244,0.3960373748090056","0.4511598862406947,0.28958122135142217,0.6706112376461497","0.47470490157818523,0.38660875671905104,-1.0",168,319,267,123,"0.47470490157818523,0.38660875671905104,-1.0",123,"0.0809641014742315,0.4778728517952051,-0.560834903418019",160,49,1.8206223999995927
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,11,test,NoPrioritise,3,square,circle,triangle,cross,"-0.020427730643879483,0.49026716567376205,-0.3409363637973366","0.7599790593392,0.278698430329378,-1.0","0.2277843781848521,0.3627318956570289,0.6269388339435948","1.0,-0.2583995670372059,-0.4160170008955538",172,99,252,18,"1.0,-0.2583995670372059,-0.4160170008955538",18,"1.0,0.1377261376429495,-1.0",76,50,4.136576900000364
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,12,test,Prioritise4,3,square,circle,cross,triangle,"0.19781922438295352,0.4574422518266765,-0.8818361039644314","1.0,-0.24030349193845646,-0.4804258498410512","-0.15691856372514257,0.4811251279442219,0.20925454252068332","1.0,0.11693500061052231,-1.0",148,22,208,73,"1.0,0.11693500061052231,-1.0",73,"1.0,-0.28545618498147696,-0.27665271730440133",9,0,8.316966899999898
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,13,test,Prioritise4,3,triangle,square,cross,circle,"-0.08288077159008311,0.49449913405181634,-0.1914000323192474","0.6885060196604067,0.3095143481419429,-1.0","1.0,-0.2133971103908915,-0.5647212078646006","0.6364477477613335,0.21838082541010184,0.6641383826852352",181,105,27,279,"0.6364477477613335,0.21838082541010184,0.6641383826852352",279,"0.7428418032534498,0.17196979648312705,0.6434837115546581",286,111,1.2466588000006595
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,14,test,NoPrioritise,3,cross,circle,triangle,square,"0.35968141037855483,0.3209804608831912,0.6599831247203418","0.6765582342033039,0.31440040312493167,-1.0","-0.03545149328753128,0.4915787209123279,-0.3069086161051545","1.0,-0.007959551777363516,-1.0",261,106,174,56,"1.0,-0.007959551777363516,-1.0",56,"1.0,-0.2810383691272422,-0.05469022987079308",354,48,5.533292000000074
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,15,test,Prioritise2,2,cross,circle,square,triangle,"1.0,-0.265680167273015,0.01659727634298691","0.2081252941518954,0.4553611512282272,-0.9356957589344492","1.0,-0.20149881210311282,-0.6002331830476271","-0.07115460775268467,0.4487065849390661,0.42510855757080535",349,147,29,226,"1.0,-0.20149881210311282,-0.6002331830476271",29,"1.0,0.01469043779870538,-1.0",59,168,3.1351764000000912
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,16,test,Prioritise2,2,cross,square,triangle,circle,"0.2419946445565604,0.35840841428502257,0.6316066564714324","0.8189948021797893,0.2510686603392729,-1.0","1.0,-0.16655302622891022,0.25673909055504174","0.02803139784776887,0.4850479085911541,-0.44669070010662637",253,94,331,166,"1.0,-0.16655302622891022,0.25673909055504174",331,"-0.10674528321075638,0.4597702151299572,0.3704541436797111",221,180,4.905965500000093
Pri_ET_Study1_6,M,0/0/1900,2022-07-11_15h09.47.792,17,test,Prioritise4,3,square,triangle,circle,cross,"0.37478692104604905,0.3159453148278393,0.6623940312376342","1.0,-0.223312447401106,0.14042906010430367","0.6646065852612066,0.3192149609683923,-1.0","0.1774490411200258,0.4614263698132157,-0.8044096137074778",262,340,107,150,"0.1774490411200258,0.4614263698132157,-0.8044096137074778",150,"0.09948789533259128,0.47503830359136323,-0.601955130836429",158,68,1.6380632000000332
