id,trial,value_cond,recallError,high_value_SL,tested_SL,AOI,start,end,duration,entry_n,trial_period,exclude_pp,exclude_trial_phase7
Pri_ET_Study1_1,1,High,5,BR,BR,bottom_right,183,424,241,1,7,0,0
Pri_ET_Study1_1,1,High,5,BR,BR,top_right,474,691,217,2,7,0,0
Pri_ET_Study1_1,1,High,5,BR,BR,bottom_right,733,891,158,3,7,0,0
Pri_ET_Study1_1,1,High,5,BR,BR,top_left,1749,1966,217,4,7,0,0
Pri_ET_Study1_1,2,Low,3,BR,TL,bottom_right,283,717,434,1,7,0,0
Pri_ET_Study1_1,2,Low,3,BR,TL,bottom_left,758,1142,384,2,7,0,0
Pri_ET_Study1_1,2,Low,3,BR,TL,top_left,1342,1508,166,3,7,0,0
Pri_ET_Study1_1,2,Low,3,BR,TL,top_right,1558,1908,350,4,7,0,0
Pri_ET_Study1_1,3,Low,41,TL,BR,top_left,191,508,317,1,7,0,0
Pri_ET_Study1_1,3,Low,41,TL,BR,top_right,558,908,350,2,7,0,0
Pri_ET_Study1_1,3,Low,41,TL,BR,bottom_right,958,1158,200,3,7,0,0
Pri_ET_Study1_1,3,Low,41,TL,BR,bottom_left,1191,1583,392,4,7,0,0
Pri_ET_Study1_1,3,Low,41,TL,BR,bottom_right,1624,1883,259,5,7,0,0
Pri_ET_Study1_1,4,Low,74,BL,TL,bottom_left,183,350,167,1,7,0,0
Pri_ET_Study1_1,4,Low,74,BL,TL,top_left,541,783,242,2,7,0,0
Pri_ET_Study1_1,4,Low,74,BL,TL,top_right,833,1225,392,3,7,0,0
Pri_ET_Study1_1,4,Low,74,BL,TL,bottom_right,1291,1533,242,4,7,0,0
Pri_ET_Study1_1,5,Low,7,BL,TL,bottom_left,0,416,416,1,7,0,0
Pri_ET_Study1_1,5,Low,7,BL,TL,top_left,458,741,283,2,7,0,0
Pri_ET_Study1_1,5,Low,7,BL,TL,top_left,1308,1500,192,3,7,0,0
Pri_ET_Study1_1,5,Low,7,BL,TL,top_right,1816,1966,150,4,7,0,0
Pri_ET_Study1_1,6,Low,21,TL,BL,top_left,0,434,434,1,7,0,0
Pri_ET_Study1_1,6,Low,21,TL,BL,top_right,792,1408,616,2,7,0,0
Pri_ET_Study1_1,6,Low,21,TL,BL,bottom_left,1717,2008,291,3,7,0,0
Pri_ET_Study1_1,7,Low,26,TL,BR,top_left,0,275,275,1,7,0,0
Pri_ET_Study1_1,7,Low,26,TL,BR,top_right,325,508,183,2,7,0,0
Pri_ET_Study1_1,7,Low,26,TL,BR,top_left,700,908,208,3,7,0,0
Pri_ET_Study1_1,7,Low,26,TL,BR,bottom_right,958,1125,167,4,7,0,0
Pri_ET_Study1_1,7,Low,26,TL,BR,top_left,1375,1591,216,5,7,0,0
Pri_ET_Study1_1,7,Low,26,TL,BR,bottom_left,1641,1900,259,6,7,0,0
Pri_ET_Study1_1,8,Low,158,TL,BR,top_left,42,1266,1224,1,7,0,0
Pri_ET_Study1_1,8,Low,158,TL,BR,top_right,1300,1675,375,2,7,0,0
Pri_ET_Study1_1,8,Low,158,TL,BR,bottom_left,1733,1941,208,3,7,0,0
Pri_ET_Study1_1,9,High,11,BR,BR,bottom_right,108,708,600,1,7,0,0
Pri_ET_Study1_1,9,High,11,BR,BR,bottom_left,758,1033,275,2,7,0,0
Pri_ET_Study1_1,9,High,11,BR,BR,bottom_right,1075,1233,158,3,7,0,0
Pri_ET_Study1_1,9,High,11,BR,BR,bottom_left,1283,1492,209,4,7,0,0
Pri_ET_Study1_1,9,High,11,BR,BR,top_left,1767,1917,150,5,7,0,0
Pri_ET_Study1_1,10,Equal,127,None,BR,top_left,891,1108,217,1,7,0,0
Pri_ET_Study1_1,10,Equal,127,None,BR,bottom_left,1183,1616,433,2,7,0,0
Pri_ET_Study1_1,10,Equal,127,None,BR,bottom_right,1666,1899,233,3,7,0,0
Pri_ET_Study1_1,11,Low,26,BR,BL,bottom_right,266,658,392,1,7,0,0
Pri_ET_Study1_1,11,Low,26,BR,BL,bottom_left,699,1141,442,2,7,0,0
Pri_ET_Study1_1,11,Low,26,BR,BL,bottom_right,1324,1499,175,3,7,0,0
Pri_ET_Study1_1,11,Low,26,BR,BL,top_right,1541,1716,175,4,7,0,0
Pri_ET_Study1_1,12,High,2,TL,TL,top_left,317,675,358,1,7,0,0
Pri_ET_Study1_1,12,High,2,TL,TL,top_right,717,1050,333,2,7,0,0
Pri_ET_Study1_1,12,High,2,TL,TL,top_left,1117,1450,333,3,7,0,0
Pri_ET_Study1_1,12,High,2,TL,TL,bottom_left,1492,1750,258,4,7,0,0
Pri_ET_Study1_1,12,High,2,TL,TL,bottom_right,1792,2008,216,5,7,0,0
Pri_ET_Study1_1,13,High,12,BR,BR,bottom_right,0,517,517,1,7,0,0
Pri_ET_Study1_1,13,High,12,BR,BR,top_left,709,884,175,2,7,0,0
Pri_ET_Study1_1,13,High,12,BR,BR,bottom_left,1383,1675,292,3,7,0,0
Pri_ET_Study1_1,13,High,12,BR,BR,bottom_right,1717,2000,283,4,7,0,0
Pri_ET_Study1_1,14,High,14,BL,BL,bottom_left,191,566,375,1,7,0,0
Pri_ET_Study1_1,14,High,14,BL,BL,bottom_right,608,825,217,2,7,0,0
Pri_ET_Study1_1,14,High,14,BL,BL,bottom_left,866,1475,609,3,7,0,0
Pri_ET_Study1_1,14,High,14,BL,BL,bottom_right,1516,1675,159,4,7,0,0
Pri_ET_Study1_1,14,High,14,BL,BL,bottom_left,1716,1883,167,5,7,0,0
Pri_ET_Study1_1,15,Low,7,TR,TL,top_right,258,516,258,1,7,0,0
Pri_ET_Study1_1,15,Low,7,TR,TL,top_left,1000,1216,216,2,7,0,0
Pri_ET_Study1_1,15,Low,7,TR,TL,bottom_left,1516,1783,267,3,7,0,0
Pri_ET_Study1_1,15,Low,7,TR,TL,bottom_right,1841,2008,167,4,7,0,0
Pri_ET_Study1_1,16,Low,127,BL,TL,bottom_left,208,717,509,1,7,0,0
Pri_ET_Study1_1,16,Low,127,BL,TL,bottom_right,767,1067,300,2,7,0,0
Pri_ET_Study1_1,16,Low,127,BL,TL,top_left,1550,1975,425,3,7,0,0
Pri_ET_Study1_1,17,High,11,BL,BL,top_left,0,150,150,1,7,0,0
Pri_ET_Study1_1,17,High,11,BL,BL,bottom_left,367,809,442,2,7,0,0
Pri_ET_Study1_1,17,High,11,BL,BL,bottom_right,867,1267,400,3,7,0,0
Pri_ET_Study1_1,17,High,11,BL,BL,top_right,1308,1467,159,4,7,0,0
Pri_ET_Study1_1,17,High,11,BL,BL,bottom_left,1533,1817,284,5,7,0,0
Pri_ET_Study1_1,18,High,8,BL,BL,bottom_left,275,658,383,1,7,0,0
Pri_ET_Study1_1,18,High,8,BL,BL,bottom_right,891,1316,425,2,7,0,0
Pri_ET_Study1_1,18,High,8,BL,BL,top_right,1741,2000,259,3,7,0,0
Pri_ET_Study1_1,19,Low,14,TR,TL,top_right,0,500,500,1,7,0,0
Pri_ET_Study1_1,19,Low,14,TR,TL,top_left,734,1025,291,2,7,0,0
Pri_ET_Study1_1,19,Low,14,TR,TL,bottom_left,1084,1867,783,3,7,0,0
Pri_ET_Study1_1,20,Equal,96,None,BL,top_left,33,733,700,1,7,0,0
Pri_ET_Study1_1,20,Equal,96,None,BL,top_right,950,1133,183,2,7,0,0
Pri_ET_Study1_1,20,Equal,96,None,BL,bottom_left,1333,1608,275,3,7,0,0
Pri_ET_Study1_1,21,High,82,TR,TR,top_right,83,591,508,1,7,0,0
Pri_ET_Study1_1,21,High,82,TR,TR,top_left,641,1091,450,2,7,0,0
Pri_ET_Study1_1,21,High,82,TR,TR,top_right,1258,1583,325,3,7,0,0
Pri_ET_Study1_1,21,High,82,TR,TR,bottom_right,1675,2008,333,4,7,0,0
Pri_ET_Study1_1,22,Low,106,TR,BL,top_right,0,575,575,1,7,0,0
Pri_ET_Study1_1,22,Low,106,TR,BL,top_left,692,867,175,2,7,0,0
Pri_ET_Study1_1,22,Low,106,TR,BL,top_right,916,1133,217,3,7,0,0
Pri_ET_Study1_1,22,Low,106,TR,BL,top_left,1183,1500,317,4,7,0,0
Pri_ET_Study1_1,22,Low,106,TR,BL,bottom_right,1700,1958,258,5,7,0,0
Pri_ET_Study1_1,23,Low,37,BR,BL,bottom_right,342,642,300,1,7,0,0
Pri_ET_Study1_1,23,Low,37,BR,BL,bottom_left,692,975,283,2,7,0,0
Pri_ET_Study1_1,23,Low,37,BR,BL,bottom_right,1017,1192,175,3,7,0,0
Pri_ET_Study1_1,23,Low,37,BR,BL,top_right,1234,1467,233,4,7,0,0
Pri_ET_Study1_1,23,Low,37,BR,BL,top_left,1509,1784,275,5,7,0,0
Pri_ET_Study1_1,24,Equal,119,None,BL,top_left,0,467,467,1,7,0,0
Pri_ET_Study1_1,24,Equal,119,None,BL,top_right,867,1050,183,2,7,0,0
Pri_ET_Study1_1,24,Equal,119,None,BL,top_left,1250,1434,184,3,7,0,0
Pri_ET_Study1_1,24,Equal,119,None,BL,bottom_left,1617,1850,233,4,7,0,0
