id,trial,tested_item_points,recallError,tested_SL,TL,TR,BL,BR,AOI,start,end,duration,entry_n,trial_period,exclude_pp,exclude_trial_phase7,AOI_value
Pri_ET_Study2_1,1,4,5,BL,2,1,4,3,TL,242,433,191,1,7,0,0,2
Pri_ET_Study2_1,1,4,5,BL,2,1,4,3,TR,525,683,158,2,7,0,0,1
Pri_ET_Study2_1,1,4,5,BL,2,1,4,3,BR,725,975,250,3,7,0,0,3
Pri_ET_Study2_1,1,4,5,BL,2,1,4,3,BL,1025,1783,758,4,7,0,0,4
Pri_ET_Study2_1,1,4,5,BL,2,1,4,3,BR,1825,2000,175,5,7,0,0,3
Pri_ET_Study2_1,2,3,9,TL,3,4,1,2,TL,267,483,216,1,7,0,0,3
Pri_ET_Study2_1,2,3,9,TL,3,4,1,2,BL,675,850,175,2,7,0,0,1
Pri_ET_Study2_1,2,3,9,TL,3,4,1,2,BR,892,1075,183,3,7,0,0,2
Pri_ET_Study2_1,2,3,9,TL,3,4,1,2,TR,1441,1733,292,4,7,0,0,4
Pri_ET_Study2_1,2,3,9,TL,3,4,1,2,TL,1783,2008,225,5,7,0,0,3
Pri_ET_Study2_1,3,1,11,TR,3,1,2,4,BL,242,625,383,1,7,0,0,2
Pri_ET_Study2_1,3,1,11,TR,3,1,2,4,BR,667,925,258,2,7,0,0,4
Pri_ET_Study2_1,3,1,11,TR,3,1,2,4,TR,967,1342,375,3,7,0,0,1
Pri_ET_Study2_1,3,1,11,TR,3,1,2,4,TL,1384,1825,441,4,7,0,0,3
Pri_ET_Study2_1,4,2,98,TR,3,2,1,4,TL,300,491,191,1,7,0,0,3
Pri_ET_Study2_1,4,2,98,TR,3,2,1,4,BL,850,1141,291,2,7,0,0,1
Pri_ET_Study2_1,4,2,98,TR,3,2,1,4,TR,1325,1533,208,3,7,0,0,2
Pri_ET_Study2_1,4,2,98,TR,3,2,1,4,TL,1575,1783,208,4,7,0,0,3
Pri_ET_Study2_1,5,4,99,BL,1,2,4,3,TL,333,508,175,1,7,0,0,1
Pri_ET_Study2_1,5,4,99,BL,1,2,4,3,TR,550,966,416,2,7,0,0,2
Pri_ET_Study2_1,5,4,99,BL,1,2,4,3,BR,1008,1466,458,3,7,0,0,3
Pri_ET_Study2_1,5,4,99,BL,1,2,4,3,BL,1525,1758,233,4,7,0,0,4
Pri_ET_Study2_1,5,4,99,BL,1,2,4,3,TL,1800,1950,150,5,7,0,0,1
Pri_ET_Study2_1,6,4,81,TR,1,4,2,3,TR,367,625,258,1,7,0,0,4
Pri_ET_Study2_1,6,4,81,TR,1,4,2,3,BR,667,1067,400,2,7,0,0,3
Pri_ET_Study2_1,6,4,81,TR,1,4,2,3,BL,1117,1433,316,3,7,0,0,2
Pri_ET_Study2_1,6,4,81,TR,1,4,2,3,BR,1492,2008,516,4,7,0,0,3
Pri_ET_Study2_1,7,3,110,BR,4,1,2,3,BL,450,750,300,1,7,0,0,2
Pri_ET_Study2_1,7,3,110,BR,4,1,2,3,TR,925,1233,308,2,7,0,0,1
Pri_ET_Study2_1,7,3,110,BR,4,1,2,3,BR,1283,1475,192,3,7,0,0,3
Pri_ET_Study2_1,7,3,110,BR,4,1,2,3,TL,1642,1883,241,4,7,0,0,4
Pri_ET_Study2_1,8,4,24,TR,2,4,3,1,TL,250,400,150,1,7,0,0,2
Pri_ET_Study2_1,8,4,24,TR,2,4,3,1,TR,433,633,200,2,7,0,0,4
Pri_ET_Study2_1,8,4,24,TR,2,4,3,1,BR,683,1033,350,3,7,0,0,1
Pri_ET_Study2_1,8,4,24,TR,2,4,3,1,BL,1091,1333,242,4,7,0,0,3
Pri_ET_Study2_1,8,4,24,TR,2,4,3,1,TL,1633,1858,225,5,7,0,0,2
Pri_ET_Study2_1,9,1,62,BR,3,4,2,1,BR,383,567,184,1,7,0,0,1
Pri_ET_Study2_1,9,1,62,BR,3,4,2,1,TR,725,967,242,2,7,0,0,4
Pri_ET_Study2_1,9,1,62,BR,3,4,2,1,TL,1008,1892,884,3,7,0,0,3
Pri_ET_Study2_1,10,3,126,TL,3,2,1,4,TR,191,750,559,1,7,0,0,2
Pri_ET_Study2_1,10,3,126,TL,3,2,1,4,BL,908,1191,283,2,7,0,0,1
Pri_ET_Study2_1,10,3,126,TL,3,2,1,4,BR,1233,1683,450,3,7,0,0,4
Pri_ET_Study2_1,10,3,126,TL,3,2,1,4,TL,1741,2008,267,4,7,0,0,3
Pri_ET_Study2_1,11,3,104,BL,4,1,3,2,TR,408,608,200,1,7,0,0,1
Pri_ET_Study2_1,11,3,104,BL,4,1,3,2,BR,650,1000,350,2,7,0,0,2
Pri_ET_Study2_1,11,3,104,BL,4,1,3,2,BL,1041,1433,392,3,7,0,0,3
Pri_ET_Study2_1,11,3,104,BL,4,1,3,2,BR,1833,2008,175,4,7,0,0,2
Pri_ET_Study2_1,12,1,106,BL,3,2,1,4,TR,433,608,175,1,7,0,0,2
Pri_ET_Study2_1,12,1,106,BL,3,2,1,4,BR,825,983,158,2,7,0,0,4
Pri_ET_Study2_1,12,1,106,BL,3,2,1,4,BL,1025,1250,225,3,7,0,0,1
Pri_ET_Study2_1,12,1,106,BL,3,2,1,4,TL,1433,1900,467,4,7,0,0,3
Pri_ET_Study2_1,13,1,138,BR,2,3,4,1,TL,341,500,159,1,7,0,0,2
Pri_ET_Study2_1,13,1,138,BR,2,3,4,1,BR,808,1075,267,2,7,0,0,1
Pri_ET_Study2_1,13,1,138,BR,2,3,4,1,TL,1141,1491,350,3,7,0,0,2
Pri_ET_Study2_1,13,1,138,BR,2,3,4,1,TR,1525,2008,483,4,7,0,0,3
Pri_ET_Study2_1,14,4,25,TL,4,1,3,2,TL,258,475,217,1,7,0,0,4
Pri_ET_Study2_1,14,4,25,TL,4,1,3,2,BL,517,775,258,2,7,0,0,3
Pri_ET_Study2_1,14,4,25,TL,4,1,3,2,TR,983,1233,250,3,7,0,0,1
Pri_ET_Study2_1,14,4,25,TL,4,1,3,2,TL,1283,1892,609,4,7,0,0,4
Pri_ET_Study2_1,15,3,136,BR,2,1,4,3,TL,242,392,150,1,7,0,0,2
Pri_ET_Study2_1,15,3,136,BR,2,1,4,3,TR,442,633,191,2,7,0,0,1
Pri_ET_Study2_1,15,3,136,BR,2,1,4,3,BR,667,1175,508,3,7,0,0,3
Pri_ET_Study2_1,15,3,136,BR,2,1,4,3,TR,1208,1925,717,4,7,0,0,1
Pri_ET_Study2_1,16,2,15,TL,2,3,1,4,TL,267,483,216,1,7,0,0,2
Pri_ET_Study2_1,16,2,15,TL,2,3,1,4,BL,525,750,225,2,7,0,0,1
Pri_ET_Study2_1,16,2,15,TL,2,3,1,4,TR,1016,1216,200,3,7,0,0,3
Pri_ET_Study2_1,16,2,15,TL,2,3,1,4,BL,1391,1991,600,4,7,0,0,1
Pri_ET_Study2_1,17,3,7,TL,3,2,4,1,TL,242,417,175,1,7,0,0,3
Pri_ET_Study2_1,17,3,7,TL,3,2,4,1,TR,450,642,192,2,7,0,0,2
Pri_ET_Study2_1,17,3,7,TL,3,2,4,1,BR,925,1108,183,3,7,0,0,1
Pri_ET_Study2_1,17,3,7,TL,3,2,4,1,BL,1242,1525,283,4,7,0,0,4
Pri_ET_Study2_1,17,3,7,TL,3,2,4,1,TL,1558,1733,175,5,7,0,0,3
Pri_ET_Study2_1,18,4,141,TL,4,3,1,2,TR,400,558,158,1,7,0,0,3
Pri_ET_Study2_1,18,4,141,TL,4,3,1,2,BR,666,958,292,2,7,0,0,2
Pri_ET_Study2_1,18,4,141,TL,4,3,1,2,BL,1150,1416,266,3,7,0,0,1
Pri_ET_Study2_1,18,4,141,TL,4,3,1,2,TL,1458,1891,433,4,7,0,0,4
Pri_ET_Study2_1,19,3,29,TL,3,4,1,2,TR,209,442,233,1,7,0,0,4
Pri_ET_Study2_1,19,3,29,TL,3,4,1,2,BR,625,800,175,2,7,0,0,2
Pri_ET_Study2_1,19,3,29,TL,3,4,1,2,BL,842,1175,333,3,7,0,0,1
Pri_ET_Study2_1,19,3,29,TL,3,4,1,2,TL,1225,1558,333,4,7,0,0,3
Pri_ET_Study2_1,20,3,4,TL,3,1,4,2,TL,283,500,217,1,7,0,0,3
Pri_ET_Study2_1,20,3,4,TL,3,1,4,2,TR,550,941,391,2,7,0,0,1
Pri_ET_Study2_1,20,3,4,TL,3,1,4,2,TR,1250,1433,183,3,7,0,0,1
Pri_ET_Study2_1,20,3,4,TL,3,1,4,2,BL,1483,1833,350,4,7,0,0,4
Pri_ET_Study2_1,21,2,167,BR,1,4,3,2,TL,267,417,150,1,7,0,0,1
Pri_ET_Study2_1,21,2,167,BR,1,4,3,2,TR,467,792,325,2,7,0,0,4
Pri_ET_Study2_1,21,2,167,BR,1,4,3,2,BL,842,1492,650,3,7,0,0,3
