device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,trial,trial_phase,pp_TS
1015224094,14176980583,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,1,14176.6330992
1015232443,14176988931,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,1,14176.6330992
1015240724,14176997211,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,1,14176.6330992
1015249046,14177005533,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,1,14176.6330992
1015257378,14177013864,"(0.551807165145874, 0.43292003870010376)","(22.380767822265625, 156.91943359375, -5.559999942779541)",1,3.88818359375,1,"(-64.03840637207031, -2.2796716690063477, 664.571044921875)","(0.637657880783081, 0.5049003958702087, 0.5485701560974121)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,1,14176.6330992
1015265720,14177022205,"(0.5443713665008545, 0.44901764392852783)","(18.506256103515625, 152.20127868652344, -5.559999942779541)",1,nan,0,"(-63.895687103271484, -2.2705471515655518, 664.5368041992188)","(0.6373581886291504, 0.5048810243606567, 0.5484560132026672)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,1,14176.6330992
1015274046,14177030531,"(0.5401039123535156, 0.4420773983001709)","(16.28265380859375, 154.23544311523438, -5.559999942779541)",1,nan,0,"(-64.02302551269531, -2.2980220317840576, 664.5360107421875)","(0.6376320719718933, 0.5049400925636292, 0.5484533905982971)",1,"(0.5435643792152405, 0.46305131912231445)","(18.08575439453125, 148.08804321289062, -5.559999942779541)",1,nan,0,"(4.752721309661865, -3.0265345573425293, 659.594970703125)","(0.4897063970565796, 0.5065549612045288, 0.5319832563400269)",1,1,1,14176.6330992
1015282377,14177038861,"(0.53973388671875, 0.44191908836364746)","(16.08984375, 154.28184509277344, -5.559999942779541)",1,3.835845947265625,1,"(-63.86154556274414, -2.2899935245513916, 664.5851440429688)","(0.6372748017311096, 0.5049225091934204, 0.5486171245574951)",1,"(0.5397222638130188, 0.4356924891471863)","(16.083770751953125, 156.10684204101562, -5.559999942779541)",1,3.6637115478515625,1,"(4.912148952484131, -3.057147741317749, 659.625)","(0.48936158418655396, 0.5066209435462952, 0.5320833325386047)",1,1,1,14176.6330992
1015290706,14177047189,"(0.5389742851257324, 0.4499559998512268)","(15.69403076171875, 151.92623901367188, -5.559999942779541)",1,nan,0,"(-61.852447509765625, -2.1957802772521973, 640.237548828125)","(0.6380122900009155, 0.5048995018005371, 0.46745848655700684)",1,"(0.5440384745597839, 0.4656050503253937)","(18.332794189453125, 147.3395538330078, -5.559999942779541)",1,nan,0,"(5.055096626281738, -3.1017041206359863, 659.5708618164062)","(0.48905110359191895, 0.5067180395126343, 0.5319028496742249)",1,1,1,14176.6330992
1015299044,14177055527,"(0.5346295833587646, 0.5042922496795654)","(13.43017578125, 136.00045776367188, -5.559999942779541)",1,nan,0,"(-61.7113151550293, -2.2249391078948975, 638.8926391601562)","(0.6379872560501099, 0.5049749612808228, 0.46297547221183777)",1,"(0.5451104640960693, 0.461470365524292)","(18.891357421875, 148.55142211914062, -5.559999942779541)",1,nan,0,"(4.9897918701171875, -3.08801531791687, 659.5885620117188)","(0.4891928434371948, 0.5066881775856018, 0.5319618582725525)",1,1,1,14176.6330992
1015307375,14177063857,"(0.5344288349151611, 0.5005913376808167)","(13.3255615234375, 137.08517456054688, -5.559999942779541)",1,3.7138519287109375,1,"(-61.63043975830078, -2.214540719985962, 639.0282592773438)","(0.6377771496772766, 0.5049507021903992, 0.4634275436401367)",1,"(0.5377506017684937, 0.45501309633255005)","(15.056427001953125, 150.44403076171875, -5.559999942779541)",1,3.646881103515625,1,"(5.03643274307251, -3.0884103775024414, 655.60302734375)","(0.4890255033969879, 0.5067297220230103, 0.5186767578125)",1,1,1,14176.6330992
1015315716,14177072197,"(0.5387245416641235, 0.5044283270835876)","(15.56390380859375, 135.9605712890625, -5.559999942779541)",1,nan,0,"(-61.563621520996094, -2.2315375804901123, 639.2106323242188)","(0.6375885009765625, 0.5049872398376465, 0.4640354514122009)",1,"(0.5406926274299622, 0.4566989541053772)","(16.589385986328125, 149.9499053955078, -5.559999942779541)",1,nan,0,"(5.060845375061035, -3.125948190689087, 652.2069702148438)","(0.4889149069786072, 0.5068469643592834, 0.507356584072113)",1,1,1,14176.6330992
1015324059,14177080540,"(0.534082293510437, 0.4953770637512207)","(13.14501953125, 138.61346435546875, -5.559999942779541)",1,nan,0,"(-61.57301712036133, -2.2534029483795166, 639.5032958984375)","(0.6375465393066406, 0.5050338506698608, 0.46501100063323975)",1,"(0.5326603055000305, 0.4639630913734436)","(12.404052734375, 147.82081604003906, -5.559999942779541)",1,nan,0,"(4.945512294769287, -3.1108407974243164, 649.66015625)","(0.4891250431537628, 0.5068405866622925, 0.4988671839237213)",1,1,1,14176.6330992
