n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,Prioritise4,2,square,triangle,circle,cross,"-0.0889322071979689,0.49470485377678974,-0.17530036558846096","0.41670369996421397,0.40402696808005323,-1.0","0.8602068900008202,0.11507220116757,0.6052161878467197","1.0,-0.11314379054822865,-0.9277147292103822",182,128,294,42,"0.8602068900008202,0.11507220116757,0.6052161878467197",294,184
2,Prioritise1,3,circle,cross,triangle,square,"0.7726890832158932,0.15810653737494773,0.6353563968956581","0.4204673865307198,0.3003640950728248,0.6680936776579738","-0.10587186235375057,0.4950046804635242,-0.12755688133261178","0.4282253351913974,0.40067838587068505,-1.0",288,265,185,127,"0.4282253351913974,0.40067838587068505,-1.0",127,32
3,Prioritise2,1,cross,triangle,square,circle,"1.0,-0.14190666083918357,-0.7896703829265752","0.11962807502985351,0.3945255124543332,0.5809118383777745","0.5438403016684124,0.25535465854340766,0.6719910833849003","1.0,-0.19319706407583936,0.20612000948251996",38,244,273,335,"0.11962807502985351,0.3945255124543332,0.5809118383777745",244,105
4,NoPrioritise,2,circle,triangle,cross,square,"1.0,-0.16655302622891022,0.25673909055504174","-0.10043403746491275,0.49495767021285575,-0.14337977127983403","1.0,-0.266139671692747,-0.3844942650329082","0.15741439024530024,0.4651753747362595,-0.7441898531558468",331,184,16,152,"1.0,-0.266139671692747,-0.3844942650329082",16,149
5,Prioritise1,0,circle,triangle,square,cross,"0.6056610145008174,0.2310032177113197,0.6677762187869551","0.09441071644993415,0.40170970408167506,0.5670564126145141","0.9001622899209403,0.20948101299508481,-1.0","1.0,-0.03882752461224859,0.44751763152896373",277,242,87,314,"0.6056610145008174,0.2310032177113197,0.6677762187869551",277,193
6,Prioritise2,0,circle,square,triangle,cross,"-0.09478536258948067,0.49485771099788134,-0.15929400236046964","1.0,-0.20752138035248524,-0.5823144238115788","0.8022226392771252,0.14399413187212562,0.6262603189685363","0.41670369996421397,0.40402696808005323,-1.0",183,28,290,128,"-0.09478536258948067,0.49485771099788134,-0.15929400236046964",183,128
7,Prioritise3,2,triangle,cross,circle,square,"-0.15218698220497417,0.491399065672369,0.0550849709310266","0.8189948021797893,0.2510686603392729,-1.0","0.28536486694739915,0.3449661378960809,0.6441272460635925","0.8314067698500829,0.129644828397681,0.6162087510840306",197,94,256,292,"0.28536486694739915,0.3449661378960809,0.6441272460635925",256,304
8,NoPrioritise,1,triangle,cross,square,circle,"1.0,-0.27567226916307197,-0.025990342729996674","0.3446475566939091,0.32593623267112437,0.6573177271493604","0.03525654226328623,0.4183671124064994,0.5284836519992187","0.29323185337982705,0.4365272844863326,-1.0",352,260,237,139,"0.3446475566939091,0.32593623267112437,0.6573177271493604",260,86
9,Prioritise1,1,square,circle,cross,triangle,"1.0,-0.20571451687417974,0.18014638001872707","0.03656203285471027,0.4839890544285097,-0.46499532916065","1.0,-0.22467733398512213,-0.5303566464837048","1.0,0.10990102188412854,-1.0",337,165,25,72,"0.03656203285471027,0.4839890544285097,-0.46499532916065",165,265
10,NoPrioritise,0,triangle,square,cross,circle,"0.8072476110492377,0.25673500061136667,-1.0","1.0,-0.1453950522675579,0.29343624696038684","0.17237529551869346,0.3792456671279014,0.6058334931269098","-0.07663707943429687,0.49424057193593485,-0.2075945922293636",95,328,248,180,"0.8072476110492377,0.25673500061136667,-1.0",95,323
11,Prioritise4,0,circle,square,cross,triangle,"0.9566713411825642,0.17778746275501622,-1.0","-0.06301515924349677,0.44629443292921844,0.43549282839157066","0.19781922438295352,0.4574422518266765,-0.8818361039644314","1.0,-0.053431764767480794,-1.0",82,227,148,50,"0.9566713411825642,0.17778746275501622,-1.0",82,270
12,Prioritise3,3,cross,circle,triangle,square,"-0.15857178695416452,0.48845422840718666,0.1127707600476957","1.0,-0.2905255226561695,-0.14211314919909668","1.0,-0.10580765013847959,-0.9756165541078137","1.0,-0.2352776592018201,-0.4968859262116322",201,0,43,23,"1.0,-0.2352776592018201,-0.4968859262116322",23,187
13,NoPrioritise,3,cross,circle,square,triangle,"0.5453823652594301,0.36344457638027117,-1.0","0.9454860823634645,0.18425356693025585,-1.0","0.07186027412725471,0.47920645949573504,-0.5409731165987569","-0.05454842094763246,0.44381461100324726,0.4456881091586087",117,83,161,228,"-0.05454842094763246,0.44381461100324726,0.4456881091586087",228,251
14,Prioritise3,0,triangle,square,circle,cross,"1.0,-0.2853220527670477,-0.0836186653125478","-0.07663707943429687,0.49424057193593485,-0.2075945922293636","1.0,-0.18672585607811187,0.21894575397790916","0.25011230249462657,0.4464347244570299,-1.0",356,180,334,143,"1.0,-0.2853220527670477,-0.0836186653125478",356,148
15,Prioritise1,2,triangle,square,cross,circle,"-0.15218698220497417,0.491399065672369,0.0550849709310266","1.0,-0.19319706407583936,0.20612000948251996","0.7599790593392,0.278698430329378,-1.0","-0.05680994196765965,0.4931478034098584,-0.2567707460520542",197,335,99,177,"0.7599790593392,0.278698430329378,-1.0",99,243
16,Prioritise3,1,circle,square,triangle,cross,"-0.1582066093163167,0.48234509352938293,0.19584550247902222","1.0,-0.2288330890480459,0.12700076968242469","1.0,-0.06852917744512788,-1.0","1.0,0.031678509722878445,0.528693730626498",207,341,48,305,"1.0,-0.2288330890480459,0.12700076968242469",341,69
17,Prioritise4,3,triangle,square,cross,circle,"0.7428418032534498,0.17196979648312705,0.6434837115546581","0.45139045294854396,0.393779284417197,-1.0","0.3148218664135791,0.3356097028178475,0.6512264970146455","1.0,-0.291416597096681,-0.18651092035548889",286,125,258,3,"1.0,-0.291416597096681,-0.18651092035548889",3,94
18,Prioritise2,3,square,circle,triangle,cross,"0.854028730639278,0.2336538600688729,-1.0","1.0,-0.030699357614306977,-1.0","0.4981526525436166,0.3791643150394166,-1.0","-0.1598212484830719,0.4866460428277808,0.1409432704458322",91,53,121,203,"-0.1598212484830719,0.4866460428277808,0.1409432704458322",203,324
19,Prioritise4,1,circle,cross,triangle,square,"1.0,-0.1558548551326704,-0.7405909184559469","0.43579397082986615,0.29501209376045523,0.6694809165992386","0.911575527904773,0.20327130372654878,-1.0","1.0,-0.2812391217555803,-0.30713162009795525",36,266,86,11,"0.43579397082986615,0.29501209376045523,0.6694809165992386",266,258
20,Prioritise2,2,circle,square,cross,triangle,"0.3000437839717358,0.34032750492681907,0.6478023910819077","1.0,-0.0932311933171065,0.374286934875081","1.0,-0.00039510366743955583,-1.0","0.8168605703912253,0.13684827598857496,0.6213530935889016",257,321,57,291,"1.0,-0.00039510366743955583,-1.0",57,358
