n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,Prioritise4,3,cross,triangle,circle,square,"1.0,-0.07783297952557244,0.3960373748090056","0.8189948021797893,0.2510686603392729,-1.0","0.40522526965537775,0.4073086888830977,-1.0","1.0,-0.223312447401106,0.14042906010430367",319,94,129,340,"1.0,-0.223312447401106,0.14042906010430367",340,234
2,Prioritise1,1,circle,triangle,cross,square,"0.5810306884554026,0.3509198779468534,-1.0","0.7836643519746782,0.2678576623980824,-1.0","-0.08288077159008311,0.49449913405181634,-0.1914000323192474","1.0,-0.223312447401106,0.14042906010430367",114,97,181,340,"0.7836643519746782,0.2678576623980824,-1.0",97,10
3,Prioritise4,1,square,cross,circle,triangle,"1.0,-0.23930972970484676,0.09987881270213972","-0.15425303278284086,0.49074605836511664,0.06966808771232391","1.0,-0.12344048141961106,0.3289459564990056","1.0,-0.015267259554568757,0.4762913260168815",343,198,325,311,"-0.15425303278284086,0.49074605836511664,0.06966808771232391",198,92
4,Prioritise1,3,square,circle,cross,triangle,"0.38240568475417525,0.4136729392938614,-1.0","1.0,0.09568719202827336,-1.0","0.2823521228309567,0.4390974279014652,-1.0","0.8744524420551003,0.1077067653533772,0.5993718879433354",131,70,140,295,"0.8744524420551003,0.1077067653533772,0.5993718879433354",295,230
5,Prioritise1,2,square,triangle,circle,cross,"0.9342399836420399,0.1906568045828605,-1.0","1.0,-0.053431764767480794,-1.0","0.9898363577373541,0.15802139914365565,-1.0","0.003196340864616065,0.48789947231709707,-0.3930376390559923",84,50,79,169,"0.9898363577373541,0.15802139914365565,-1.0",79,320
6,Prioritise4,0,triangle,cross,circle,square,"0.9229356114863154,0.19699631777014193,-1.0","1.0,-0.176090722701999,-0.6762956704638035","0.4981526525436166,0.3791643150394166,-1.0","1.0,0.016090771115826907,0.5120159997035829",85,33,121,307,"0.9229356114863154,0.19699631777014193,-1.0",85,33
7,Prioritise2,1,circle,square,triangle,cross,"0.22896995211020998,0.45101907426419996,-1.0","1.0,0.10281785561567158,-1.0","0.854028730639278,0.2336538600688729,-1.0","-0.10043403746491275,0.49495767021285575,-0.14337977127983403",145,71,91,184,"1.0,0.10281785561567158,-1.0",71,51
8,Prioritise4,1,cross,square,triangle,circle,"1.0,0.06672643376273091,-1.0","1.0,-0.1801231371030828,0.23165973332613699","0.6765582342033039,0.31440040312493167,-1.0","0.1377313063497616,0.46869198128419454,-0.6923217342230605",66,333,106,154,"1.0,-0.1801231371030828,0.23165973332613699",333,280
9,Prioritise3,3,cross,square,circle,triangle,"0.1377313063497616,0.46869198128419454,-0.6923217342230605","0.08211922552252782,0.40518924666980105,0.5597871012004456","1.0,-0.28715474606071,-0.26149890951485844","1.0,0.08129056571751603,-1.0",154,241,8,68,"1.0,0.08129056571751603,-1.0",68,82
10,Prioritise2,3,circle,cross,square,triangle,"-0.03545149328753128,0.4915787209123279,-0.3069086161051545","0.12802681261339854,0.47036395437091305,-0.6683938146358337","0.07186027412725471,0.47920645949573504,-0.5409731165987569","1.0,-0.1453950522675579,0.29343624696038684",174,155,161,328,"1.0,-0.1453950522675579,0.29343624696038684",328,68
