n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,Prioritise3,1,cross,square,triangle,circle,"1.0,-0.023115205136178596,-1.0","1.0,-0.27567226916307197,-0.025990342729996674","0.09948789533259128,0.47503830359136323,-0.601955130836429","1.0,-0.023115205136178596,-1.0",54,352,158,54,"1.0,-0.27567226916307197,-0.025990342729996674",352,75
2,Prioritise3,2,triangle,square,cross,circle,"0.8885895249151152,0.10029123080933622,0.593298310174416","1.0,0.1513135807267587,-1.0","1.0,-0.28545618498147696,-0.27665271730440133","0.45139045294854396,0.393779284417197,-1.0",296,78,9,125,"1.0,-0.28545618498147696,-0.27665271730440133",9,53
3,Prioritise3,3,square,cross,triangle,circle,"-0.1160886962144162,0.49493957268076216,-0.09618366371381681","0.38240568475417525,0.4136729392938614,-1.0","0.3446475566939091,0.32593623267112437,0.6573177271493604","1.0,-0.023115205136178596,-1.0",187,131,260,54,"1.0,-0.023115205136178596,-1.0",54,40
4,Prioritise2,1,circle,square,cross,triangle,"0.27079222332264496,0.349525727356639,0.6402021298134932","1.0,-0.053431764767480794,-1.0","0.22896995211020998,0.45101907426419996,-1.0","0.07004997715874661,0.40859431628906884,0.5522929170622126",255,50,145,240,"1.0,-0.053431764767480794,-1.0",50,217
5,Prioritise4,2,circle,square,triangle,cross,"1.0,-0.04666697700988032,0.4375655321668761","1.0,0.008268781307839035,0.5033766660072689","1.0,-0.03828278687151976,-1.0","-0.137653653553384,0.47091943313012696,0.2992494234533911",315,308,52,215,"1.0,-0.03828278687151976,-1.0",52,97
6,NoPrioritise,2,circle,triangle,cross,square,"1.0,-0.15960027999342463,0.2690977661520819","1.0,-0.20149881210311282,-0.6002331830476271","1.0,-0.1558548551326704,-0.7405909184559469","1.0,-0.2914084206358549,-0.1716625835351976",330,29,36,2,"1.0,-0.1558548551326704,-0.7405909184559469",36,208
7,NoPrioritise,1,circle,square,cross,triangle,"1.0,-0.03828278687151976,-1.0","0.1184165720364383,0.4719787961363635,-0.6454646836219573","0.5691306813430501,0.3551652128948415,-1.0","1.0,-0.18262560807777894,-0.6564771422547051",52,156,115,32,"0.1184165720364383,0.4719787961363635,-0.6454646836219573",156,281
8,NoPrioritise,3,square,circle,triangle,cross,"0.18599750731146814,0.3752337008299145,0.6114718629309206","0.12802681261339854,0.47036395437091305,-0.6683938146358337","0.8885895249151152,0.10029123080933622,0.593298310174416","0.8602068900008202,0.11507220116757,0.6052161878467197",249,155,296,294,"0.8602068900008202,0.11507220116757,0.6052161878467197",294,127
9,Prioritise1,1,circle,cross,triangle,square,"1.0,-0.030978196634575572,0.4572913763932509","0.04521328814621106,0.4828757040428189,-0.4835461552047625","1.0,-0.09842467873037941,-1.0","0.8602068900008202,0.11507220116757,0.6052161878467197",313,164,44,294,"0.04521328814621106,0.4828757040428189,-0.4835461552047625",164,126
10,Prioritise2,2,cross,triangle,circle,square,"0.1673887875274096,0.46333008938060627,-0.7729226224565875","0.5810306884554026,0.3509198779468534,-1.0","-0.10032491436032498,0.45768874039972984,0.3817396096664756","1.0,-0.24030349193845646,-0.4804258498410512",151,114,222,22,"-0.10032491436032498,0.45768874039972984,0.3817396096664756",222,190
11,NoPrioritise,0,cross,square,triangle,circle,"1.0,-0.12042756170577695,-0.8836340589512358","0.25011230249462657,0.4464347244570299,-1.0","0.9026141269879491,0.09282770385166228,0.5869975937203944","0.32969209843730707,0.3308126345090221,0.6543985772501693",41,143,297,259,"1.0,-0.12042756170577695,-0.8836340589512358",41,74
