n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,NoPrioritise,0,square,cross,circle,triangle,"1.0,-0.12042756170577695,-0.8836340589512358","0.9439739668489959,0.07017173146500566,0.5667550331301558","-0.12384754992127334,0.4656289401720195,0.3355818842165046","1.0,-0.0855518419522695,0.38524161028667625",41,300,218,320,"1.0,-0.12042756170577695,-0.8836340589512358",41,325
2,Prioritise1,0,triangle,cross,circle,square,"-0.12881863109484093,0.46745492896353924,0.32362925960524147","1.0,-0.266139671692747,-0.3844942650329082","0.5453823652594301,0.36344457638027117,-1.0","0.4051864188365102,0.30563705046778256,0.6664498358678796",217,16,117,264,"-0.12881863109484093,0.46745492896353924,0.32362925960524147",217,136
3,Prioritise4,3,cross,circle,square,triangle,"1.0,-0.27293323902243416,-0.35332683897484074","0.2081252941518954,0.4553611512282272,-0.9356957589344492","1.0,0.07402842417913646,-1.0","1.0,-0.24898244687401672,0.0724226931177736",14,147,67,345,"1.0,-0.24898244687401672,0.0724226931177736",345,137
4,Prioritise3,0,cross,square,triangle,circle,"0.9973143857544444,0.03943765994348003,0.5367265506444097","1.0,-0.16655302622891022,0.25673909055504174","1.0,-0.03828278687151976,-1.0","0.3446475566939091,0.32593623267112437,0.6573177271493604",304,331,52,260,"0.9973143857544444,0.03943765994348003,0.5367265506444097",304,182
5,Prioritise2,2,square,circle,triangle,cross,"-0.1599394399400429,0.4856569012506431,0.15485318992015062","1.0,-0.27293323902243416,-0.35332683897484074","1.0,-0.06852917744512788,-1.0","0.37478692104604905,0.3159453148278393,0.6623940312376342",204,14,48,262,"1.0,-0.06852917744512788,-1.0",48,260
6,Prioritise4,2,cross,circle,triangle,square,"0.509921421288337,0.37533864292099284,-1.0","0.37478692104604905,0.3159453148278393,0.6623940312376342","1.0,-0.289651960671372,-0.12741280502186536","1.0,-0.22467733398512213,-0.5303566464837048",120,262,359,25,"1.0,-0.289651960671372,-0.12741280502186536",359,101
7,Prioritise2,3,triangle,square,circle,cross,"0.6670955436242052,0.20546863097446266,0.6594879335101997","0.013319861281873457,0.4245182348375207,0.5115287599103473","0.5217173616076898,0.3714436344565344,-1.0","0.12802681261339854,0.47036395437091305,-0.6683938146358337",281,235,119,155,"0.12802681261339854,0.47036395437091305,-0.6683938146358337",155,22
8,NoPrioritise,3,triangle,circle,square,cross,"1.0,-0.2914084206358549,-0.1716625835351976","1.0,-0.02312336799965975,0.4668836380243213","1.0,-0.2117453636986133,0.16700499532847024","0.4397882380638529,0.39726260220805054,-1.0",2,312,338,126,"0.4397882380638529,0.39726260220805054,-1.0",126,73
9,Prioritise3,1,square,cross,triangle,circle,"1.0,0.1377261376429495,-1.0","0.058211064666331636,0.41192535001918484,0.5445760826660213","1.0,-0.2853220527670477,-0.0836186653125478","0.25011230249462657,0.4464347244570299,-1.0",76,239,356,143,"0.058211064666331636,0.41192535001918484,0.5445760826660213",239,150
10,Prioritise1,3,triangle,cross,circle,square,"0.9303101871846857,0.07776559495072588,0.5737236459068971","0.9342399836420399,0.1906568045828605,-1.0","0.04661056885000425,0.4151827959781793,0.5366388806382338","1.0,-0.2352776592018201,-0.4968859262116322",299,84,238,23,"1.0,-0.2352776592018201,-0.4968859262116322",23,84
11,Prioritise1,2,circle,square,cross,triangle,"-0.12966480223349675,0.49444262706220066,-0.04980752507879116","0.5691306813430501,0.3551652128948415,-1.0","1.0,-0.28849207683894174,-0.11276294357485506","1.0,-0.10580765013847959,-0.9756165541078137",190,115,358,43,"1.0,-0.28849207683894174,-0.11276294357485506",358,32
12,Prioritise2,0,square,cross,triangle,circle,"-0.1334211421392112,0.46921826779504494,0.31151742599586085","1.0,-0.030978196634575572,0.4572913763932509","-0.05680994196765965,0.4931478034098584,-0.2567707460520542","1.0,-0.10580765013847959,-0.9756165541078137",216,313,177,43,"-0.1334211421392112,0.46921826779504494,0.31151742599586085",216,257
13,Prioritise1,1,triangle,cross,square,circle,"1.0,-0.2812391217555803,-0.30713162009795525","0.18759316868675757,0.45946387343509576,-0.8398972692549822","-0.05454842094763246,0.44381461100324726,0.4456881091586087","0.1997782184249719,0.37114427631595914,0.6168699381761522",11,149,228,250,"0.18759316868675757,0.45946387343509576,-0.8398972692549822",149,306
14,Prioritise3,2,triangle,square,circle,cross,"0.27079222332264496,0.349525727356639,0.6402021298134932","1.0,-0.2914084206358549,-0.1716625835351976","0.29323185337982705,0.4365272844863326,-1.0","1.0,-0.05449202187079283,0.427438243059558",255,2,139,316,"0.29323185337982705,0.4365272844863326,-1.0",139,186
15,NoPrioritise,1,circle,triangle,square,cross,"-0.1336957186097738,0.49417000388378884,-0.03453353894846056","0.15741439024530024,0.4651753747362595,-0.7441898531558468","0.4665589352747248,0.2840716923699367,0.6714844115718321","-0.1481252589400609,0.4756545429797898,0.26153874370652797",191,152,268,212,"0.15741439024530024,0.4651753747362595,-0.7441898531558468",152,176
