id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Apr_25_1555,1,test,NoPrioritise,3,cross,square,triangle,circle,"1.0,-0.03828278687151976,-1.0","0.9026141269879491,0.09282770385166228,0.5869975937203944","1.0,-0.24898244687401672,0.0724226931177736","1.0,-0.2810383691272422,-0.05469022987079308",52,297,345,354,"1.0,-0.2810383691272422,-0.05469022987079308",354,"1.0,-0.023115205136178596,-1.0",54,135,1.3998220995999873
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Apr_25_1555,2,test,Prioritise3,3,cross,triangle,square,circle,"-0.0889322071979689,0.49470485377678974,-0.17530036558846096","1.0,-0.04666697700988032,0.4375655321668761","1.0,-0.25779156666188097,0.04465505589445962","-0.045760705841983884,0.4412666063320212,0.45569155140365925",182,315,347,229,"-0.045760705841983884,0.4412666063320212,0.45569155140365925",229,"1.0,-0.266139671692747,-0.3844942650329082",16,23,1.1413611001335084
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Apr_25_1555,3,test,Prioritise3,1,circle,cross,square,triangle,"1.0,-0.20149881210311282,-0.6002331830476271","0.18759316868675757,0.45946387343509576,-0.8398972692549822","0.6885060196604067,0.3095143481419429,-1.0","0.6526534052453359,0.32395804637990677,-1.0",29,149,105,108,"0.18759316868675757,0.45946387343509576,-0.8398972692549822",149,"0.02803139784776887,0.4850479085911541,-0.44669070010662637",166,228,0.9710200997069478
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Apr_25_1555,4,test,NoPrioritise,2,circle,square,cross,triangle,"0.4282253351913974,0.40067838587068505,-1.0","-0.09355100115627091,0.45554214766479406,0.3928507547204487","1.0,0.07402842417913646,-1.0","-0.1598212484830719,0.4866460428277808,0.1409432704458322",127,223,67,203,"1.0,0.07402842417913646,-1.0",67,"0.5902286499321849,0.2372037618456999,0.6692134526599127",276,122,1.1401888001710176
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Apr_25_1555,5,test,Prioritise4,1,circle,square,cross,triangle,"1.0,-0.03828278687151976,-1.0","0.0809641014742315,0.4778728517952051,-0.560834903418019","-0.017538974095646753,0.43320838581829424,0.48452289736445553","0.697563521415238,0.19227379976898162,0.6538323072937366",52,160,232,283,"0.0809641014742315,0.4778728517952051,-0.560834903418019",160,"0.9229356114863154,0.19699631777014193,-1.0",85,320,1.5220497003756464
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Apr_25_1555,6,test,Prioritise3,2,circle,triangle,cross,square,"1.0,-0.18904346603826983,-0.637249894721835","1.0,0.13084904670314157,-1.0","1.0,-0.2692625012388049,0.0024658652101630096","0.4511598862406947,0.28958122135142217,0.6706112376461497",31,75,350,267,"1.0,-0.2692625012388049,0.0024658652101630096",350,"0.05398205218015839,0.48170764156945833,-0.5023703861935837",163,236,1.6169757000170648
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Apr_25_1555,7,test,Prioritise2,0,circle,triangle,square,cross,"1.0,-0.2541916545294901,-0.43193236346031305","0.6210691465439071,0.22472865664823272,0.6660842894513506","-0.06359610428535867,0.4935649245563736,-0.24027710533734647","0.35968141037855483,0.3209804608831912,0.6599831247203418",19,278,178,261,"1.0,-0.2541916545294901,-0.43193236346031305",19,"0.3446475566939091,0.32593623267112437,0.6573177271493604",260,140,1.0676285000517964
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Apr_25_1555,8,test,Prioritise1,3,circle,square,triangle,cross,"0.04661056885000425,0.4151827959781793,0.5366388806382338","-0.05454842094763246,0.44381461100324726,0.4456881091586087","0.18599750731146814,0.3752337008299145,0.6114718629309206","1.0,0.03716450464441401,-1.0",238,228,249,62,"1.0,0.03716450464441401,-1.0",62,"1.0,-0.2133971103908915,-0.5647212078646006",27,17,1.4328246996738017
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Apr_25_1555,9,test,Prioritise4,2,cross,circle,square,triangle,"-0.05454842094763246,0.44381461100324726,0.4456881091586087","0.22896995211020998,0.45101907426419996,-1.0","1.0,-0.2759589912597996,-0.3378595329546661","0.07004997715874661,0.40859431628906884,0.5522929170622126",228,145,13,240,"1.0,-0.2759589912597996,-0.3378595329546661",13,"-0.14500574250124976,0.47413711311303364,0.2742570559677715",213,183,1.1907532000914216
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Apr_25_1555,10,test,Prioritise3,0,cross,square,triangle,circle,"0.9454860823634645,0.18425356693025585,-1.0","0.21850949126575658,0.4532202130288874,-0.9933869065076532","1.0,0.022205290041545256,-1.0","0.7004475934634664,0.30455679594870433,-1.0",83,146,60,104,"0.9454860823634645,0.18425356693025585,-1.0",83,"0.6168077568629242,0.33775906377670717,-1.0",111,283,1.2345288000069559
